poste,entreprise,lieu,salary_min,salary_max,currency,description,source,pays
Business Developer H/F,ParuVendu.fr,"Rhône, Auvergne-Rhône-Alpes",1835,1835,,"Vous êtes à la recherche d'une entreprise ambitieuse à l'esprit start-up, qui vous offre la possibilité d'évoluer dans un environnement stimulant et en pleine mutation ? Intégrer nos équipes, c'est rejoindre un groupe qui place l'humain au coeur de son processus de développement et c'est travailler aux côtés de passionnés qui partagent des valeurs communes. Description du poste : Nous recherchons un.e Business Developer afin d'accroitre notre portefeuille clients BtoB et intégrer notre équipe c…",adzuna_api,fr
Business Developer H/F,Dekra France,"Vitrolles, Istres",50000,55000,,"Rattaché(e) directement au Directeur de l'activité nationales Grands Projets, vous participez au développement commercial d'un portefeuille clients régional constitué, entre autres, de grands groupes industriels sur des prestations HSE et de coordination SPS. Véritable relai terrain, votre rôle est de conquérir de nouveaux marchés et de développer le chiffre d'affaires de l'activité. Dans ce cadre vos missions principales sont les suivantes : - Vous prospectez de nouveaux clients pour des proje…",adzuna_api,fr
Chargé de Développement H/F,SlashIntérim,"Vendée, Pays de la Loire",25000,30000,,"Slash Intérim, 1er réseau de recruteurs indépendants en intérim, recherche son/sa futur.e Chargé.e de développement ! Ton quotidien sera rythmé par les missions suivantes : - Définir ta cible de prospection - Répondre aux freins et aux objections pour convaincre ! - Assurer le suivi de tes prospects - Animer des réunions d'informations collectives - Réaliser des rendez-vous téléphoniques et Visios individuels, pour présenter et promouvoir le concept - Sourcer des candidats via des actions d'app…",adzuna_api,fr
Business Developer H/F,Fonction:Support,"Rhône, Auvergne-Rhône-Alpes",35000,45000,,"Fonction :Support et son Talent :Program accompagne KOESIO MANAGED SERVICES dans le recrutement et la création de sa fonction de Commercial IT ! Commercial·e IT chez KMS, c'est : - Partir à la conquête de nouveaux clients pour Koesio Managed Services - Vendre des offres de service innovantes - Dans un groupe à mission forte et au projet de croissance ambitieux Commercial.e terrain, directement intégré·e au pôle commercial de KMS au sein de l'équipe Sales, vous avez au quotidien la responsabilit…",adzuna_api,fr
Business Developer H/F,Hellowork group,"Ille-et-Vilaine, Bretagne",49000,49000,,"Imagine Des milliers de PME françaises qui pourraient bénéficier de notre expertise, mais qui, pour l'instant, passent à côté. C'est là que TU interviens ! Depuis Rennes, sans déplacements mais avec toute la puissance du téléphone et de la visio, tu seras aux commandes de ton propre portefeuille de clients. Ton job ? Conquérir, convaincre, conclure. Ici, on ne parle pas d'objectifs, on parle d'AMBITION ! Notre équipe est une une force commerciale redoutable, soudée par un seul moteur : la gagne…",adzuna_api,fr
Business Developer H/F,Kanta,"Calvados, Normandie",26000,35000,,"Et c'est là où tu interviens. Tu joueras un rôle clé dans la dynamique de Kanta. En moins de 3 ans, nous sommes passés de 0 à  de 1100 clients de toutes tailles, du cabinet d'une personne à des grands groupes pluridisciplinaires. Tu seras un des piliers de KANTA pour tout casser, ou plutôt construire. Dans ce contexte de croissance, nous sommes à la recherche de profils commerciaux. Tes missions principales : - Tu seras en charge de l'acquisition de nouveaux clients sur ta région (nous utilison…",adzuna_api,fr
Data Scientist H/F,Altim,"Meudon, Boulogne-Billancourt",44000,54000,,"Au sein d'une équipe de 3 personnes le data scientist sera amené à générer, superviser et analyser un ensemble d'indicateurs de qualité et de performance permettant de suivre la qualité de services TV et Internet. Principale technologies demandées : Spark et Python. - Aide au déménagement - Aide au logement - Épargne salariale - Participation au Transport - RTT - Titre-restaurant - Subvention : sport, culture, voyage - Prime vacances",adzuna_api,fr
Data Scientist - H/F,Mp Data,"Rangueuil, Toulouse",40000,65000,,"Dans un contexte de croissance de nos activités, nous recherchons un(e) Data Scientist pour rejoindre notre équipe toulousaine. Votre rôle sera de : Développer des modèles Effectuer des tests unitaires Participer aux phases de test et de mise en service Rédiger de la documentation technique, et communiquer efficacement avec les parties prenantes (chef de projet, opérationnels, etc.) Les livrables attendus comprennent des modèles performants, du code source commenté et documenté, ainsi qu’une do…",adzuna_api,fr
Data scientist F/H,ADELYCE,"Labège;, Castanet-Tolosan",36000,36000,,"Rejoignez le service Recherche & Innovation et devenez Data Scientist ! Dans le cadre de son développement d’activité, Adelyce recrute un(e) Data Scientist . Optimisation de l’argent public, performance des politiques publiques au service des usagers, départs en retraite, attractivité, engagement des agents, management des hommes, des équipes, des organisations : ce sont les nombreux défis qui attendent les collectivités. Ces enjeux vous passionnent, vous nourrissent et vous avez envie de parti…",adzuna_api,fr
Data Scientist Dataiku (IT),Groupe Aptenia,"Ile-de-France, France",600,700,,"Nous recherchons un Data Scientist Dataiku pour rejoindre une équipe IA / Data ayant identifié 80 cas d'usages à traiter. Le projet, confidentiel et lié à la défense, nécessite des compétences avérées en Dataiku. Des sujets liés à l'IA Gen (LLm, Agent IA, RAG etc) sont également en cours et une appétence serait appréciée. La mission peux débuter ASAP, avec une visibilité sur 10 ans de roadmap. (Bon de commande de 3 mois renouvelables). Livrables Mise en place d'une usine logicielle avec Dataiku…",adzuna_api,fr
Data Scientist F/H,VISIAN,"Courbevoie, Nanterre",32000,60000,,"Dans le cadre de ses projets clients, Visian , société de conseil spécialisée en data et innovation, recherche un Data Scientist pour rejoindre son équipe en pleine croissance. Missions Recueillir et analyser les besoins métiers afin de définir les cas d’usage data pertinents. Collecter, explorer, et prétraiter des données issues de sources multiples (bases relationnelles, APIs, fichiers, etc.). Concevoir et entraîner des modèles statistiques et de machine learning (classification, régression, …",adzuna_api,fr
