poste,entreprise,lieu,salary_min,salary_max,currency,description,source,pays
Senior Data Scientist,JR Italy,"Udine, Provincia di Udine",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"Provincia di Biella, Piemonte",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"Reggio Emilia, Provincia di Reggio Emilia",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"Provincia di Napoli, Campania",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,Expleo Group,"Bolzano, Provincia di Bolzano",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,Expleo Group,Italia,70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,Expleo Group,"Provincia di Brescia, Lombardia",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi, l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance. Exple…",adzuna_api,it
Senior Data Scientist,JR Italy,"Alessandria, Provincia di Alessandria",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"Provincia di Vercelli, Piemonte",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"Provincia di Arezzo, Toscana",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"Rovigo, Provincia di Rovigo",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"Prato, Provincia di Prato",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"Provincia di Brescia, Lombardia",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"Provincia di Lodi, Lombardia",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
SENIOR DATA SCIENTIST,JR Italy,"Monza, Provincia di Monza e Brianza",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"Parma, Provincia di Parma",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"L'Aquila, Provincia dell'Aquila",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"Provincia di Bergamo, Lombardia",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,Expleo Group,"Provincia di Biella, Piemonte",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi, l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance. Exple…",adzuna_api,it
Senior Data Scientist,JR Italy,"Perugia, Provincia di Perugia",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,Expleo Group,"Provincia di Milano, Lombardia",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi, l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance. Exple…",adzuna_api,it
Senior Data Scientist,JR Italy,"Bolzano, Provincia di Bolzano",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,Expleo Group,Italia,70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi, l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance. Exple…",adzuna_api,it
Senior Data Scientist,JR Italy,"Provincia di Sassari, Sardegna",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,JR Italy,"Provincia di Macerata, Marche",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,Expleo Group,"Vicenza, Provincia di Vicenza",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi , l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance . Exp…",adzuna_api,it
Senior Data Scientist,Expleo Group,"Provincia di Ancona, Marche",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi, l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking, financial service & insurance. Expl…",adzuna_api,it
Senior Data Scientist,Expleo Group,"Perugia, Provincia di Perugia",70000,90000,,"Expleo Group è un partner di fiducia per l'ingegneria integrata, servizi di qualità e consulenza per la trasformazione digitale. Con 20.000 dipendenti operanti in oltre 30 paesi, l'azienda aiuta le imprese a sfruttare le innovazioni tecnologiche per ottenere vantaggi competitivi e migliorare la vita quotidiana delle persone. I settori in cui opera includono automotive, spazio e difesa, gaming, aeronautica, telecomunicazioni e media, settore pubblico, banking financial service & insurance. Exple…",adzuna_api,it
AI DATA SCIENTIST (BARI),Gruppo Maggioli,"Provincia di Bari, Puglia",110000,125000,,"Per potenziare il team R&D dedicato al progetto EvoCity (sede di Bari), cerchiamo un* AI Data Scientist con competenze in analisi dati, modellazione predittiva e implementazione di soluzioni di AI in contesti aziendali. La figura avrà il compito di trasformare problemi di business in soluzioni analitiche concrete, attraverso l’intero ciclo di vita del dato: dalla raccolta alla valutazione dell’impatto. Di cosa ti occuperai: Progettare e sviluppare modelli di Machine Learning su dataset compless…",adzuna_api,it
Senior Data Scientist,Wellnet,"Provincia di Milano, Lombardia",70000,90000,,"Wellnet, azienda del gruppo Prismi S.p.A., è una digital transformation agency con sede principale a Milano. Caratterizzata da un approccio data driven, strategico e metodologico, sfrutta expertise complementari e sempre più convergenti in ambito MarTech per offrire soluzioni innovative e custom alla media e grande azienda e alla pubblica amministrazione. Si focalizza principalmente su HubSpot, Drupal, Intelligenza Artificiale (AI), Software Quality Assurance (QA) e digital sales. Cerchiamo un …",adzuna_api,it
Senior Data Scientist,Dentsu,"Provincia di Milano, Lombardia",70000,90000,,We are looking for a Senior Data Scientist. Together with the other team members he / she will manage and analyze large data from the web (digital marketing) customer CRMs external data sources developing machine learning algorithms and using various advanced analysis information management and reporting tools. Key responsibilities : Understanding and analysis of business problems for resolution or optimization with analytical and statistical methods with traditional and Big Data approaches des…,adzuna_api,it
Senior Data Scientist,Wellnet,"Provincia di Milano, Lombardia",70000,90000,,"Wellnet, azienda del gruppo Prismi S.p.A., è una digital transformation agency con sede principale a Milano. Caratterizzata da un approccio data driven, strategico e metodologico, sfrutta expertise complementari e sempre più convergenti in ambito MarTech per offrire soluzioni innovative e custom alla media e grande azienda e alla pubblica amministrazione. Si focalizza principalmente su HubSpot, Drupal, Intelligenza Artificiale (AI), Software Quality Assurance (QA) e digital sales. Cerchiamo un …",adzuna_api,it
Senior Data Scientist,Wellnet,"Provincia di Pavia, Lombardia",70000,90000,,"Wellnet, azienda del gruppo Prismi S.p.A., è una digital transformation agency con sede principale a Milano. Caratterizzata da un approccio data driven, strategico e metodologico, sfrutta expertise complementari e sempre più convergenti in ambito MarTech per offrire soluzioni innovative e custom alla media e grande azienda e alla pubblica amministrazione. Si focalizza principalmente su HubSpot, Drupal, Intelligenza Artificiale (AI), Software Quality Assurance (QA) e digital sales. Cerchiamo un …",adzuna_api,it
Senior Data Scientist,Experteer Italy,"Provincia di Genova, Liguria",70000,90000,,"Job Description: Leonardo è un gruppo industriale internazionale, tra le principali realtà mondiali nell'Aerospazio, Difesa e Sicurezza che realizza capacità tecnologiche multidominio in ambito Elicotteri, Velivoli, Aerostrutture, Elettronica, Cyber Security e Spazio. Con oltre 60.000 dipendenti nel mondo, l'azienda ha una solida presenza industriale in Italia, Regno Unito, Polonia, Stati Uniti, e opera in 150 paesi anche attraverso aziende controllate, joint venture e partecipazioni. Protagoni…",adzuna_api,it
Senior Data Scientist,Experteer Italy,"Nerviano, Provincia di Milano",70000,90000,,"Job Description: Leonardo è un gruppo industriale internazionale, tra le principali realtà mondiali nell'Aerospazio, Difesa e Sicurezza che realizza capacità tecnologiche multidominio in ambito Elicotteri, Velivoli, Aerostrutture, Elettronica, Cyber Security e Spazio. Con oltre 60.000 dipendenti nel mondo, l'azienda ha una solida presenza industriale in Italia, Regno Unito, Polonia, Stati Uniti, e opera in 150 paesi anche attraverso aziende controllate, joint venture e partecipazioni. Protagoni…",adzuna_api,it
Senior Data Scientist,Leonardo,"Provincia di Genova, Liguria",70000,90000,,"Job Description: Leonardo è un gruppo industriale internazionale, tra le principali realtà mondiali nell’Aerospazio, Difesa e Sicurezza che realizza capacità tecnologiche multidominio in ambito Elicotteri, Velivoli, Aerostrutture, Elettronica, Cyber Security e Spazio. Con oltre 60.000 dipendenti nel mondo, l’azienda ha una solida presenza industriale in Italia, Regno Unito, Polonia, Stati Uniti, e opera in 150 paesi anche attraverso aziende controllate, joint venture e partecipazioni. Protagoni…",adzuna_api,it
Senior Data Scientist,Syensqo,"Bollate, Provincia di Milano",70000,90000,,"Join to apply for the Senior Data Scientist role at Syensqo Join to apply for the Senior Data Scientist role at Syensqo Get AI-powered advice on this job and more exclusive features. Syensqo is all about chemistry. We’re not just referring to chemical reactions here, but also to the magic that occurs when the brightest minds get to work together. This is where our true strength lies. In you. In your future colleagues and in all your differences. And of course, in your ideas to improve lives whi…",adzuna_api,it
SENIOR DATA SCIENTIST,JR Italy,"Provincia di Milano, Lombardia",70000,90000,,"Social network you want to login/join with: Sibill is the accounting and financial operating system for small and medium businesses (SMBs). Italy is the single largest EU country by number of SMBs. Italian SMBs employ 75% of workforce and generate two thirds of the country GDP. We want to unlock Italian SMBs productivity. Old tooling, manual processes, sparse data cause an average 8 hours/week wasted by our entrepreneurs. It simply can’t keep being as it is. Sibill gives this time back to entre…",adzuna_api,it
SENIOR DATA SCIENTIST,JR Italy,"Provincia di Varese, Lombardia",70000,90000,,"Social network you want to login/join with: Sibill is the accounting and financial operating system for small and medium businesses (SMBs). Italy is the single largest EU country by number of SMBs. Italian SMBs employ 75% of workforce and generate two thirds of the country GDP. We want to unlock Italian SMBs productivity. Old tooling, manual processes, sparse data cause an average 8 hours/week wasted by our entrepreneurs. It simply can’t keep being as it is. Sibill gives this time back to entre…",adzuna_api,it
Senior Data Scientist,KPMG Italy,"Provincia di Roma, Lazio",70000,90000,,"Premi Tab per spostarti e passare al collegamento contenuto Seleziona la frequenza (in giorni) di ricezione di un avviso: Crea avviso Vuoi fare un lavoro che sia davvero significativo e di impatto? In KPMG avrai l’opportunità di aiutare i clienti, la società, le colleghe e i colleghi ad affrontare e risolvere le sfide più attuali e complesse. KPMG Advisory offre servizi di consulenza alle imprese per affiancarle nella trasformazione del business model, nel miglioramento e nella digitalizzazione…",adzuna_api,it
Senior Data Scientist,Arsenalia,"Treviso, Provincia di Treviso",70000,90000,,"In Altitudo, brand di Arsenalia, avrai la possibilità di partecipare attivamente alla vita dell’azienda mettendo in gioco le tue competenze digitali e la tua creatività . Sarai inserito in un contesto smart, dinamico ed internazionale, che favorisce la collaborazione, valorizza i talenti, promuove l’autenticità e ne sviluppa le potenzialità attuando continui piani di crescita professionale . ""Cerchiamo un professionista che dia un contributo rilevante ai nostri ambiziosi progetti ad alto conten…",adzuna_api,it
Senior Data Scientist,JR Italy,"Provincia di Como, Lombardia",70000,90000,,"Social network you want to login/join with: About us Sibill is the accounting and financial operating system for small and medium businesses (SMBs). Italy is the single largest EU country by number of SMBs. Italian SMBs employ 75% of workforce and generate two thirds of the country GDP. We want to unlock Italian SMBs productivity . Old tooling, manual processes, sparse data cause an average 8 hours/week wasted by our entrepreneurs. It simply can’t keep being as it is. Sibill gives this time bac…",adzuna_api,it
Senior Data Scientist,The Cast,"Treviso, Provincia di Treviso",70000,90000,,"Cast AI is the leading Kubernetes automation platform for AWS, GCP and Azure customers. The company is on a mission to deliver a fully automated Kubernetes experience. What’s unique about Cast AI is that its platform goes beyond monitoring clusters and making recommendations; it utilizes advanced machine learning algorithms to analyze and automatically optimize clusters, saving customers 50% or more on their cloud spend, improving performance and reliability, and boosting DevOps and engineering…",adzuna_api,it
Senior Data Scientist,The Cast,Italia,70000,90000,,"Cast AI is the leading Kubernetes automation platform for AWS, GCP and Azure customers. The company is on a mission to deliver a fully automated Kubernetes experience. What’s unique about Cast AI is that its platform goes beyond monitoring clusters and making recommendations; it utilizes advanced machine learning algorithms to analyze and automatically optimize clusters, saving customers 50% or more on their cloud spend, improving performance and reliability, and boosting DevOps and engineering…",adzuna_api,it
Senior Data Scientist,The Cast,"Provincia di Pisa, Toscana",70000,90000,,"Cast AI is the leading Kubernetes automation platform for AWS, GCP and Azure customers. The company is on a mission to deliver a fully automated Kubernetes experience. What’s unique about Cast AI is that its platform goes beyond monitoring clusters and making recommendations; it utilizes advanced machine learning algorithms to analyze and automatically optimize clusters, saving customers 50% or more on their cloud spend, improving performance and reliability, and boosting DevOps and engineering…",adzuna_api,it
Senior Data Scientist,The Cast,"Provincia di Bari, Puglia",70000,90000,,"Cast AI is the leading Kubernetes automation platform for AWS, GCP and Azure customers. The company is on a mission to deliver a fully automated Kubernetes experience. What’s unique about Cast AI is that its platform goes beyond monitoring clusters and making recommendations; it utilizes advanced machine learning algorithms to analyze and automatically optimize clusters, saving customers 50% or more on their cloud spend, improving performance and reliability, and boosting DevOps and engineering…",adzuna_api,it
Senior Data Scientist,The Cast,Italia,70000,90000,,"Cast AI is the leading Kubernetes automation platform for AWS, GCP and Azure customers. The company is on a mission to deliver a fully automated Kubernetes experience. What’s unique about Cast AI is that its platform goes beyond monitoring clusters and making recommendations; it utilizes advanced machine learning algorithms to analyze and automatically optimize clusters, saving customers 50% or more on their cloud spend, improving performance and reliability, and boosting DevOps and engineering…",adzuna_api,it
Senior Data Scientist,The Cast,"Provincia di Latina, Lazio",70000,90000,,"Why Cast AI? Cast AI is the leading Kubernetes automation platform for AWS, GCP and Azure customers. The company is on a mission to deliver a fully automated Kubernetes experience. What’s unique about Cast AI is that its platform goes beyond monitoring clusters and making recommendations; it utilizes advanced machine learning algorithms to analyze and automatically optimize clusters, saving customers 50% or more on their cloud spend, improving performance and reliability, and boosting DevOps an…",adzuna_api,it
Senior Data Scientist,The Cast,"Provincia di Bergamo, Lombardia",70000,90000,,"Why Cast AI? Cast AI is the leading Kubernetes automation platform for AWS, GCP and Azure customers. The company is on a mission to deliver a fully automated Kubernetes experience. What’s unique about Cast AI is that its platform goes beyond monitoring clusters and making recommendations; it utilizes advanced machine learning algorithms to analyze and automatically optimize clusters, saving customers 50% or more on their cloud spend, improving performance and reliability, and boosting DevOps an…",adzuna_api,it
Senior Data Scientist,The Cast,"Provincia di Catania, Sicilia",70000,90000,,"Cast AI is the leading Kubernetes automation platform for AWS, GCP and Azure customers. The company is on a mission to deliver a fully automated Kubernetes experience. What’s unique about Cast AI is that its platform goes beyond monitoring clusters and making recommendations; it utilizes advanced machine learning algorithms to analyze and automatically optimize clusters, saving customers 50% or more on their cloud spend, improving performance and reliability, and boosting DevOps and engineering…",adzuna_api,it
Senior Data Scientist,The Cast,"Udine, Provincia di Udine",70000,90000,,"Why Cast AI? Cast AI is the leading Kubernetes automation platform for AWS, GCP and Azure customers. The company is on a mission to deliver a fully automated Kubernetes experience. What’s unique about Cast AI is that its platform goes beyond monitoring clusters and making recommendations; it utilizes advanced machine learning algorithms to analyze and automatically optimize clusters, saving customers 50% or more on their cloud spend, improving performance and reliability, and boosting DevOps an…",adzuna_api,it
Senior Data Scientist,The Cast,"Provincia di Cagliari, Sardegna",70000,90000,,"Why Cast AI? Cast AI is the leading Kubernetes automation platform for AWS, GCP and Azure customers. The company is on a mission to deliver a fully automated Kubernetes experience. What’s unique about Cast AI is that its platform goes beyond monitoring clusters and making recommendations; it utilizes advanced machine learning algorithms to analyze and automatically optimize clusters, saving customers 50% or more on their cloud spend, improving performance and reliability, and boosting DevOps an…",adzuna_api,it
Cloud Infrastracture System Engineer (AI & ML),Aruba SpA,"Provincia di Torino, Piemonte",70000,90000,,"Aruba S.p.A. è il principale cloud provider italiano e prima azienda in Italia per i servizi di data center, cloud, hosting, trust Services, email, PEC e registrazione domini. Come Gruppo ci impegniamo a contribuire alla trasformazione digitale del Paese ponendoci quotidianamente l'obiettivo di essere al fianco di cittadini ed aziende, supportandone l’attività con le migliori tecnologie e con il massimo rispetto dell’ambiente. Il nostro obiettivo è quello di offrire ai clienti il miglior serviz…",adzuna_api,it
Sales & Business Developer Manager,W Executive,"Verona, Provincia di Verona",50000,70000,,"Azienda leader nelle soluzioni di automazione dei processi di fabbricazione e applicazioni tecnologiche ricerca un Sales and Business Development Manager per guidare la crescita aziendale e rafforzare il posizionamento di mercato. Posizione Il candidato sarà responsabile della promozione e vendita di soluzioni di automazione AI nel settore manifatturiero, sviluppando strategie di vendita, negoziando contratti e gestendo relazioni con gli stakeholder. Inoltre, collaborerà internamente per svilup…",adzuna_api,it
Data Scientist/ML Engineer,JR Italy,"Provincia di Roma, Lazio",70000,90000,,"MatchGuru è più di una piattaforma: è l'epicentro dove talenti e aziende si scoprono, capiscono e incontrano. Con le nostre soluzioni tecnologiche proprietarie, acceleriamo ed efficientiamo il processo di selezione, liberandolo da rallentamenti ed errori. Questo ci rende una vera e propria guida sia per i talenti, che accompagniamo verso le opportunità più affini alle proprie caratteristiche e aspettative, sia per l’azienda, che aiutiamo a scovare i candidati perfetti prima di ogni altri compet…",adzuna_api,it
Business Intelligence Analyst - Siena e Firenze,Michael Page International Italia S.r.l.,"Provincia di Firenze, Toscana",50000,70000,,"Software house operante in ambito di IT Business Consulting Focus sugli ambiti Big Data, Business Intelligence, Business Analytics Azienda Software house operante in ambito di IT Business Consulting, con particolare focus sugli ambiti IoT, Business Intelligence, Business Analytics, Big Data, AI e Machine Learning. Offerta Raccolta e Analisi dei Dati: supportare l'analisi dei dati provenienti da diverse fonti aziendali, al fine di identificare tendenze, opportunità e aree di miglioramento. Creaz…",adzuna_api,it
Ricercatore / trice senior Quantum Computing,LINKS Foundation,"Provincia di Torino, Piemonte",30000,50000,,"Ricercatore/trice senior Quantum Computing, Turin Turin, Italy Posizione Il dominio di ricerca CPE ( Advanced Computing, Photonics and Electromagnetism ) focalizza la ricerca applicata sulla convergenza HPC, Big Data e Intelligenza Artificiale, l'orchestrazione di risorse di supercalcolo. La ricerca di frontiera si focalizza su Quantum Computing, Quantum Communication, la bionica e la fusione nucleare. LINKS è alla ricerca di un/a ricercatore/trice senior, che si unirà al team Advanced Computin…",adzuna_api,it
